Asset No	Capitalized On	Asset Description	S/N	Barcode Name
300060-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2612 SJB	300060-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300061-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2606 SJB	300061-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300062-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2661 SJB	300062-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300063-0	12/02/2020	Hyundai Starex Ambulance CRDI M/T	B 1247 FIX	300063-0 / Hyundai Starex Ambulance CRDI M/T
300064-0	31/10/2020	Hyundai Santa Fe Gls Gasoline A/T 4x2	B 2617 SJC	300064-0 / Hyundai Santa Fe Gls Gasoline A/T 4x2
300065-0	31/10/2020	Hyundai Santa Fe Gls Gasoline A/T 4x2	B 1805 FJH	300065-0 / Hyundai Santa Fe Gls Gasoline A/T 4x2
300066-0	31/10/2020	Hyundai Tucson 2.0 2WD AT TL (4x2) A/T	B 1752 FJH	300066-0 / Hyundai Tucson 2.0 2WD AT TL (4x2) A/T
300067-0	31/10/2020	Hyundai Tucson 2.0 2WD AT TL (4x2) A/T	B 1750 FJH	300067-0 / Hyundai Tucson 2.0 2WD AT TL (4x2) A/T
300068-0	31/10/2020	Hyundai Tucson 2.0 2WD AT TL (4x2) A/T	B 1748 FJH	300068-0 / Hyundai Tucson 2.0 2WD AT TL (4x2) A/T
300069-0	31/01/2021	Hyundai Forklift Electric Reach Truck 25BR-9	HHKHFS06AF0000494	300069-0 / Hyundai Forklift Electric Reach Truck 25BR-9
300070-0	31/01/2021	Hyundai Forklift Electric Reach Truck 25BR-9	HHKHFS06LF0000495	300070-0 / Hyundai Forklift Electric Reach Truck 25BR-9
300071-0	31/01/2021	Hyundai Forklift Electric Reach Truck 25BR-9	HHKHFS06HF0000496	300071-0 / Hyundai Forklift Electric Reach Truck 25BR-9
300072-0	31/01/2021	Hyundai Forklift Electric Reach Truck 25BR-9	HHKHFS06EF0000497	300072-0 / Hyundai Forklift Electric Reach Truck 25BR-9
300073-0	31/01/2021	Hyundai Forklift Electric Reach Truck 25BR-9	HHKHFS06CF0000498	300073-0 / Hyundai Forklift Electric Reach Truck 25BR-9
300074-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL (4x2) White 	B 1794 FJH	300074-0 / Hyundai Tucson 2.0 2WD AT TL (4x2) White 
300075-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL A/T (4x2) White	B 1933 FJH	300075-0 / Hyundai Tucson 2.0 2WD AT TL A/T (4x2) White
300076-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL A/T (4x2) White (2)	B 1935 FJH	300076-0 / Hyundai Tucson 2.0 2WD AT TL A/T (4x2) White (2)
300077-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black	B 1796 FJH	300077-0 / Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black
300078-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black (2)	B 1790 FJH	300078-0 / Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black (2)
300079-0	31/03/2021	Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black (3)	B 1792 FJH	300079-0 / Hyundai Tucson 2.0 2WD AT TL A/T (4x2) Black (3)
300080-0	28/04/2021	Hyundai Kona Gasoline 2.0 Two Tone A/T GRG Grey Metallic	B 1935 FJH	300080-0 / Hyundai Kona Gasoline 2.0 Two Tone A/T GRG Grey Metallic
300081-0	28/04/2021	Hyundai Palisade D 2.2 A/T Signature GRG White	B 2399 FFS	300081-0 / Hyundai Palisade D 2.2 A/T Signature GRG White
300082-0	28/04/2021	Hyundai Palisade D 2.2 A/T Signature GRG Black Metallic	B 2003 FFS	300082-0 / Hyundai Palisade D 2.2 A/T Signature GRG Black Metallic
300083-0	28/04/2021	Hyundai Palisade D 2.2 A/T Signature GRG Black Metellic	B 2109 FFS	300083-0 / Hyundai Palisade D 2.2 A/T Signature GRG Black Metellic
300084-0	31/05/2021	Hyundai Kona Gasoline 2.0 Single Tone A/T GRG Black Metalic	B 2361 FFU	300084-0 / Hyundai Kona Gasoline 2.0 Single Tone A/T GRG Black Metalic
300085-0	31/05/2021	Hyundai Kona Gasoline 2.0 Single Tone A/T GRG White	B 2364 FFU	300085-0 / Hyundai Kona Gasoline 2.0 Single Tone A/T GRG White
300086-0	30/06/2021	Ziegler Forcer Fire Truck Mercy Axor 1623R 	B 9355 XNZ	300086-0 / Ziegler Forcer Fire Truck Mercy Axor 1623R 
300087-0	31/07/2021	Hyundai Kona Gasoline 2.0 Single Tone A/T GRG White	B 2349 FFU	300087-0 / Hyundai Kona Gasoline 2.0 Single Tone A/T GRG White
300088-0	31/07/2021	Forklift 25BR-9	HHKHFS06HF0000529	300088-0 / Forklift 25BR-9
300089-0	31/08/2021	AC Electric Club Car (1)	AM1916-005220	300089-0 / AC Electric Club Car (1)
300090-0	31/08/2021	AC Electric Club Car (2)	AM1916-005221	300090-0 / AC Electric Club Car (2)
300091-0	30/09/2021	Hyundai H-1 XG Gas Next Gen A/T Artic White 	B 2007 FFW	300091-0 / Hyundai H-1 XG Gas Next Gen A/T Artic White 
300092-0	31/10/2021	Hyundai Staria Signature 7 GRE	-	300092-0 / Hyundai Staria Signature 7 GRE
310002-0	17/02/2020	Digital Scale CAS-SW 1A Double Display Capacity 30 kg	190151551	310002-0 / Digital Scale CAS-SW 1A Double Display Capacity 30 kg
310003-0	17/02/2020	Digital Chair Scale  D-SCALE A28E Double Display Capacity 75 kg	12120200802	310003-0 / Digital Chair Scale  D-SCALE A28E Double Display Capacity 75 kg
